"id_enquesta";"id_alumne";"totalAgressivitat";"agressivitatFisica";"agressivitatVerbal";"agressivitatRelacional";"totalAgressivitat_SN";"agressivitatFisica_SN";"agressivitatVerbal_SN";"agressivitatRelacional_SN";"prosocialitat";"prosocialitat_SN";"totalVictimitzacio";"victimitzacioFisica";"victimitzacioVerbal";"victimitzacioRelacional";"totalVictimitzacio_SN";"victimitzacioFisica_SN";"victimitzacioVerbal_SN";"victimitzacioRelacional_SN";"popular_SN";"rebutjat_SN";"ignorat_SN";"controvertit_SN";"norma_SN";"triesPositives_SN";"triesNegatives_SN"
1;"1 ";12;8;0;4;"X";"X";" ";" ";4;"X";18;2;5;11;"X";" ";" ";"X";" ";" ";" ";" ";" ";1;4
1;"2 ";6;1;4;1;" ";" ";" ";" ";3;" ";0;0;0;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";3;2
1;"3 ";10;2;3;5;" ";" ";" ";" ";2;" ";2;0;2;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";4;1
1;"4 ";10;2;5;3;" ";" ";"X";" ";1;" ";21;10;10;1;"X";"X";"X";" ";" ";" ";" ";" ";" ";2;4
1;"5 ";6;0;5;1;" ";" ";"X";" ";6;"X";0;0;0;0;" ";" ";" ";" ";"X";" ";" ";" ";" ";7;1
1;"6 ";23;13;1;9;"X";"X";" ";"X";5;"X";50;16;15;19;"X";"X";"X";"X";" ";"X";" ";" ";" ";0;9
1;"7 ";5;2;0;3;" ";" ";" ";" ";1;" ";34;9;11;14;"X";"X";"X";"X";" ";"X";" ";" ";" ";1;8
1;"8 ";7;1;4;2;" ";" ";" ";" ";4;" ";1;1;0;0;" ";" ";" ";" ";"X";" ";" ";" ";" ";5;1
1;"9 ";17;8;4;5;"X";"X";" ";"X";7;"X";1;0;1;0;" ";" ";" ";" ";" ";" ";" ";"X";" ";5;4
1;"10 ";8;2;2;4;" ";" ";" ";" ";3;" ";18;10;7;1;"X";"X";"X";" ";" ";" ";" ";" ";" ";4;2
1;"11 ";12;1;9;2;"X";" ";"X";" ";4;"X";4;3;1;0;" ";" ";" ";" ";"X";" ";" ";" ";" ";6;0
1;"12 ";3;0;2;1;" ";" ";" ";" ";1;" ";0;0;0;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";3;2
1;"13 ";5;0;4;1;" ";" ";" ";" ";1;" ";1;0;0;1;" ";" ";" ";" ";"X";" ";" ";" ";" ";4;0
1;"14 ";8;1;7;0;" ";" ";"X";" ";3;" ";12;1;2;9;" ";" ";" ";"X";" ";"X";" ";" ";" ";1;6
1;"15 ";4;1;0;3;" ";" ";" ";" ";4;" ";7;0;6;1;" ";" ";"X";" ";" ";" ";" ";" ";" ";1;4
1;"16 ";26;13;0;13;"X";"X";" ";"X";7;"X";2;1;0;1;" ";" ";" ";" ";" ";"X";" ";" ";" ";1;11
1;"17 ";4;0;1;3;" ";" ";" ";" ";1;" ";3;1;1;1;" ";" ";" ";" ";"X";" ";" ";" ";" ";4;0
1;"18 ";11;5;4;2;" ";" ";" ";" ";5;"X";1;1;0;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";2;0
1;"19 ";6;2;2;2;" ";" ";" ";" ";2;" ";5;4;1;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";5;2
1;"20 ";5;0;5;0;" ";" ";"X";" ";5;"X";1;0;0;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";2;0
1;"21 ";5;1;1;3;" ";" ";" ";" ";1;" ";8;4;1;3;" ";" ";" ";" ";" ";" ";" ";" ";"X";2;2
